City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tuktoyaktuk,CA,2022-04-21 15:53:59,69.4541,-133.0374,-7.6,77,40,0.0
68,Sao Filipe,CV,2022-04-21 15:53:59,14.8961,-24.4956,75.52,70,35,11.27
69,Avarua,CK,2022-04-21 15:54:00,-21.2078,-159.775,77.05,61,75,8.05
70,Hasaki,JP,2022-04-21 15:54:00,35.7333,140.8333,63.0,96,100,21.9
71,Ilulissat,GL,2022-04-21 15:54:01,69.2167,-51.1,32.36,93,100,11.56
72,Chimbote,PE,2022-04-21 15:50:42,-9.0853,-78.5783,72.46,73,95,9.22
73,Valday,RU,2022-04-21 15:54:01,57.9747,33.2525,45.36,73,18,9.84
74,San Patricio,US,2022-04-21 15:54:01,28.017,-97.5169,80.91,68,52,18.81
75,Severo-Kurilsk,RU,2022-04-21 15:54:02,50.6789,156.125,35.24,93,71,13.02
76,Tura,IN,2022-04-21 15:54:02,25.5198,90.2201,72.52,79,34,3.8
77,Poum,NC,2022-04-21 15:54:03,-20.2333,164.0167,76.69,74,56,12.08
78,Salalah,OM,2022-04-21 15:54:04,17.0151,54.0924,80.98,72,0,6.31
79,Auki,SB,2022-04-21 15:54:04,-8.7676,160.7034,77.92,88,96,3.8
80,Barrow,US,2022-04-21 15:54:05,71.2906,-156.7887,-0.31,96,97,12.01
81,Neiafu,TO,2022-04-21 15:54:05,-18.65,-173.9833,81.28,83,75,4.61
82,Ancud,CL,2022-04-21 15:54:06,-41.8697,-73.8203,52.23,85,54,18.97
83,Fortuna,US,2022-04-21 15:54:06,40.5982,-124.1573,51.66,94,40,10.36
84,Qaanaaq,GL,2022-04-21 15:54:07,77.484,-69.3632,-3.35,78,0,0.67
85,Lakota,CI,2022-04-21 15:54:07,5.8528,-5.6883,85.5,59,97,1.86
86,Kijang,KR,2022-04-21 15:54:08,35.2442,129.2139,49.73,84,0,8.14
87,Clyde River,CA,2022-04-21 15:54:08,70.4692,-68.5914,1.63,78,100,19.57
88,Nikolskoye,RU,2022-04-21 15:54:08,59.7035,30.7861,51.8,63,6,7.49
89,Yulara,AU,2022-04-21 15:54:09,-25.2406,130.9889,64.24,27,75,8.05
90,Havoysund,NO,2022-04-21 15:54:09,70.9963,24.6622,41.23,93,90,21.34
91,Puerto Escondido,MX,2022-04-21 15:54:10,15.85,-97.0667,85.62,53,0,5.3
92,Tulagi,SB,2022-04-21 15:55:10,-9.0996,160.1476,82.56,75,100,4.18
93,Saint-Philippe,RE,2022-04-21 15:55:10,-21.3585,55.7679,78.39,88,51,9.51
94,New Norfolk,AU,2022-04-21 15:55:11,-42.7826,147.0587,47.7,68,57,2.86
95,Homer,US,2022-04-21 15:55:11,59.6425,-151.5483,37.04,69,6,4.0
96,Saint George,US,2022-04-21 15:51:02,37.1041,-113.5841,74.79,25,0,16.11
97,Georgetown,MY,2022-04-21 15:54:09,5.4112,100.3354,84.15,84,20,3.44
98,Manali,IN,2022-04-21 15:55:12,13.1667,80.2667,86.09,81,15,13.0
99,Provideniya,RU,2022-04-21 15:55:12,64.3833,-173.3,21.02,87,38,11.65
100,Muros,ES,2022-04-21 15:55:13,42.7762,-9.0603,54.16,81,100,13.38
101,Ponta Do Sol,PT,2022-04-21 15:55:13,32.6667,-17.1,65.12,60,77,8.79
102,Hilo,US,2022-04-21 15:55:14,19.7297,-155.09,78.28,89,100,4.61
103,Komsomolskiy,UZ,2022-04-21 15:55:14,40.4272,71.7189,63.32,72,75,6.91
104,Chuy,UY,2022-04-21 15:55:14,-33.6971,-53.4616,77.32,48,77,8.97
105,Genthin,DE,2022-04-21 15:55:15,52.4,12.1667,53.26,75,100,7.34
106,Sembe,CG,2022-04-21 15:55:15,1.6481,14.5806,74.89,90,92,4.65
107,Geraldton,AU,2022-04-21 15:55:15,-28.7667,114.6,64.81,48,17,9.22
108,Cheney,US,2022-04-21 15:55:16,47.4874,-117.5758,45.25,93,75,11.5
109,Castro,BR,2022-04-21 15:55:16,-24.7911,-50.0119,73.96,54,4,7.09
110,Seymchan,RU,2022-04-21 15:55:17,62.8833,152.4333,4.19,99,83,1.5
111,Boa Vista,BR,2022-04-21 15:55:09,2.8197,-60.6733,75.18,88,75,3.44
112,Cherskiy,RU,2022-04-21 15:55:17,68.75,161.3,13.87,98,100,3.6
113,Mount Gambier,AU,2022-04-21 15:55:18,-37.8333,140.7667,53.51,62,100,5.75
114,Swan Hill,AU,2022-04-21 15:55:18,-35.3378,143.5544,51.17,69,37,8.68
115,Puerto Ayora,EC,2022-04-21 15:55:19,-0.7393,-90.3518,75.16,82,44,8.16
116,Tolyatti,RU,2022-04-21 15:55:19,53.5303,49.3461,47.7,74,100,9.37
117,Panguna,PG,2022-04-21 15:55:19,-6.3164,155.4848,68.76,97,94,1.48
118,Talnakh,RU,2022-04-21 15:55:20,69.4865,88.3972,10.69,78,90,3.31
119,Narsaq,GL,2022-04-21 15:54:56,60.9167,-46.05,34.92,84,100,14.16
